ALG,keygen,sign,verify
ECDSA-P256 (SymCrypt),8121.37,2829.99,7802.5
ECDSA-P384 (SymCrypt),5542.87,1425.12,3926.8
ECDSA-P521 (SymCrypt),922.32,269.67,748.06
Falcon-1024 (liboqs),45.74,1882.65,9722.22
Falcon-512 (liboqs),135.52,3672.62,18761.35
MLDSA-44 (SymCrypt),755.47,1205.24,10046.62
MLDSA-44 (liboqs),32043.61,11885.8,33383.39
MLDSA-65 (SymCrypt),497.78,713.73,6881.55
MLDSA-65 (liboqs),20503.65,8307.29,21645.17
MLDSA-87 (SymCrypt),408.56,670.47,4855.26
MLDSA-87 (liboqs),12926.01,6455.16,13529.04
